"transe_date","code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"20160101","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","108795.39","108795.39000","108795.39"
"20160102","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","108031.99","108031.99000","108031.99"
"20160103","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","108397.36","108397.36000","108397.36"
"20160104","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","108689.77","108689.77000","108689.77"
"20160105","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","111016.79","111016.79000","111016.79"
"20160106","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","118985.02","118985.02000","118985.02"
"20160107","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","128612.34","128612.34000","128612.34"
"20160108","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","137648.99","137648.99000","137648.99"
"20160109","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","144897.31","144897.31000","144897.31"
"20160110","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","146854.84","146854.84000","146854.84"
"20160111","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","146023.38","146023.38000","146023.38"
"20160112","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","145296.67","145296.67000","145296.67"
"20160113","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","141541.05","141541.05000","141541.05"
"20160114","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","142975.82","142975.82000","142975.82"
"20160115","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","142263.2","142263.20000","142263.2"
"20160116","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","142194.98","142194.98000","142194.98"
"20160117","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","145562.03","145562.03000","145562.03"
"20160118","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","146693.54","146693.54000","146693.54"
"20160119","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","146569.06","146569.06000","146569.06"
"20160120","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","145328.48","145328.48000","145328.48"
"20160121","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","142792.76","142792.76000","142792.76"
"20160122","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","139936.7","139936.70000","139936.7"
"20160123","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","139047.1","139047.10000","139047.1"
"20160124","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","140605.19","140605.19000","140605.19"
"20160125","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","135130.82","135130.82000","135130.82"
"20160126","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","135130.82","135130.82000","135130.82"
"20160127","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","129109.16","129109.16000","129109.16"
"20160128","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","128697.87","128697.87000","128697.87"
"20160129","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","123943.98","123943.98000","123943.98"
"20160130","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","114895.5","114895.50000","114895.5"
"20160131","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","118838.76","118838.76000","118838.76"
"20160101","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","108795.39","108795.39000","108795.39"
"20160102","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","108031.99","108031.99000","108031.99"
"20160103","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","108397.36","108397.36000","108397.36"
"20160104","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","108689.77","108689.77000","108689.77"
"20160105","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","111016.79","111016.79000","111016.79"
"20160106","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","118985.02","118985.02000","118985.02"
"20160107","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","128612.34","128612.34000","128612.34"
"20160108","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","137648.99","137648.99000","137648.99"
"20160109","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","144897.31","144897.31000","144897.31"
"20160110","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","146854.84","146854.84000","146854.84"
"20160111","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","146023.38","146023.38000","146023.38"
"20160112","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","145296.67","145296.67000","145296.67"
"20160113","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","141541.05","141541.05000","141541.05"
"20160114","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","142975.82","142975.82000","142975.82"
"20160115","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","142263.2","142263.20000","142263.2"
"20160116","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","142194.98","142194.98000","142194.98"
"20160117","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","145562.03","145562.03000","145562.03"
"20160118","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","146693.54","146693.54000","146693.54"
"20160119","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","146569.06","146569.06000","146569.06"
"20160120","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","145328.48","145328.48000","145328.48"
"20160121","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","142792.76","142792.76000","142792.76"
"20160122","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","139936.7","139936.70000","139936.7"
"20160123","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","139047.1","139047.10000","139047.1"
"20160124","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","140605.19","140605.19000","140605.19"
"20160125","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","135130.82","135130.82000","135130.82"
"20160126","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","135130.82","135130.82000","135130.82"
"20160127","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","129109.16","129109.16000","129109.16"
"20160128","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","128697.87","128697.87000","128697.87"
"20160129","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","123943.98","123943.98000","123943.98"
"20160130","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","114895.5","114895.50000","114895.5"
"20160131","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","118838.76","118838.76000","118838.76"
"20160201","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","130928.69","130928.69000","130928.69"
"20160202","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","140024.96","140024.96000","140024.96"
"20160203","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","145811.29","145811.29000","145811.29"
"20160204","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","150341.42","150341.42000","150341.42"
"20160205","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","149944.08","149944.08000","149944.08"
"20160206","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","155601.72","155601.72000","155601.72"
"20160207","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","161987.82","161987.82000","161987.82"
"20160208","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","166545.04","166545.04000","166545.04"
"20160209","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","169631.1","169631.10000","169631.1"
"20160210","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","172289.21","172289.21000","172289.21"
"20160211","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","172727.92","172727.92000","172727.92"
"20160212","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","172719.84","172719.84000","172719.84"
"20160213","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","169231.92","169231.92000","169231.92"
"20160214","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","172110.63","172110.63000","172110.63"
"20160215","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","168517.27","168517.27000","168517.27"
"20160216","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","169252.44","169252.44000","169252.44"
"20160217","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","169558.33","169558.33000","169558.33"
"20160218","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","167379.79","167379.79000","167379.79"
"20160219","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","169165.99","169165.99000","169165.99"
"20160220","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","170207.27","170207.27000","170207.27"
"20160221","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","174275.22","174275.22000","174275.22"
"20160222","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","171231.65","171231.65000","171231.65"
"20160223","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","170094.35","170094.35000","170094.35"
"20160224","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","164973.65","164973.65000","164973.65"
"20160225","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","157669.98","157669.98000","157669.98"
"20160226","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","151130.28","151130.28000","151130.28"
"20160227","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","144364.61","144364.61000","144364.61"
"20160228","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","139873.68","139873.68000","139873.68"
"20160229","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","127561.43","127561.43000","127561.43"
"20160301","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","131257.42","131257.42000","131257.42"
"20160302","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","132482.97","132482.97000","132482.97"
"20160303","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","133155.84","133155.84000","133155.84"
"20160304","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","140587.67","140587.67000","140587.67"
"20160305","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","148066.16","148066.16000","148066.16"
"20160306","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","154164.76","154164.76000","154164.76"
"20160307","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","159923.1","159923.10000","159923.1"
"20160308","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","164641.49","164641.49000","164641.49"
"20160309","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","165878.35","165878.35000","165878.35"
"20160310","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","169234.32","169234.32000","169234.32"
"20160311","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","168544.59","168544.59000","168544.59"
"20160312","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","168997.76","168997.76000","168997.76"
"20160313","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","169396.49","169396.49000","169396.49"
"20160314","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","166590.84","166590.84000","166590.84"
"20160315","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","168334.54","168334.54000","168334.54"
"20160316","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","171427.91","171427.91000","171427.91"
"20160317","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","173938.68","173938.68000","173938.68"
"20160318","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","174940.34","174940.34000","174940.34"
"20160319","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","172938.67","172938.67000","172938.67"
"20160320","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","177229.21","177229.21000","177229.21"
"20160321","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","172704.35","172704.35000","172704.35"
"20160322","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","172617.24","172617.24000","172617.24"
"20160323","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","173164.1","173164.10000","173164.1"
"20160324","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","173532.53","173532.53000","173532.53"
"20160325","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","173206.9","173206.90000","173206.9"
"20160326","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","173102.24","173102.24000","173102.24"
"20160327","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","178135.16","178135.16000","178135.16"
"20160328","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","181362.21","181362.21000","181362.21"
"20160329","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","184911.38","184911.38000","184911.38"
"20160330","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","188064.61","188064.61000","188064.61"
"20160331","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","190330.67","190330.67000","190330.67"
"20160401","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","190677.98","190677.98000","190677.98"
"20160402","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","191242.94","191242.94000","191242.94"
"20160403","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","191242.94","191242.94000","191242.94"
"20160404","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","191242.94","191242.94000","191242.94"
"20160405","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","191798.73","191798.73000","191798.73"
"20160406","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","192558","192558.00000","192558"
"20160407","Region Name: Arunachal Pradesh","02","Rice-Raw","BANDERDEWA","FC12","189698.52","189698.52000","189698.52"
