"transe_date","code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"20160101","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","253658.0551","672479.45027","672479.45027"
"20160101","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","197284.5481","672479.45027","672479.45027"
"20160101","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","170169.87707","672479.45027","672479.45027"
"20160101","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","51366.97","672479.45027","672479.45027"
"20160102","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","239964.8436","653652.68802","653652.68802"
"20160102","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","197284.5481","653652.68802","653652.68802"
"20160102","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","166224.80632","653652.68802","653652.68802"
"20160102","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","50178.49","653652.68802","653652.68802"
"20160103","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","239964.8436","650416.01202","650416.01202"
"20160103","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","197284.5481","650416.01202","650416.01202"
"20160103","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","162988.13032","650416.01202","650416.01202"
"20160103","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","50178.49","650416.01202","650416.01202"
"20160104","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","222771.4618","621945.40772","621945.40772"
"20160104","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","192271.0921","621945.40772","621945.40772"
"20160104","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","156724.36382","621945.40772","621945.40772"
"20160104","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","50178.49","621945.40772","621945.40772"
"20160105","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","215251.11075","604275.70847","604275.70847"
"20160105","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","187359.4386","604275.70847","604275.70847"
"20160105","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","151486.66912","604275.70847","604275.70847"
"20160105","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","50178.49","604275.70847","604275.70847"
"20160106","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","224066.0034","606431.83762","606431.83762"
"20160106","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","181182.4456","606431.83762","606431.83762"
"20160106","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","151178.10862","606431.83762","606431.83762"
"20160106","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","50005.28","606431.83762","606431.83762"
"20160107","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","226676.37405","599727.98277","599727.98277"
"20160107","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","176509.0641","599727.98277","599727.98277"
"20160107","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","147238.02462","599727.98277","599727.98277"
"20160107","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","49304.52","599727.98277","599727.98277"
"20160108","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","218492.36655","572005.08227","572005.08227"
"20160108","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","166880.8221","572005.08227","572005.08227"
"20160108","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","141368.87362","572005.08227","572005.08227"
"20160108","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","45263.02","572005.08227","572005.08227"
"20160109","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","238535.88705","629180.80847","629180.80847"
"20160109","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","196020.5296","629180.80847","629180.80847"
"20160109","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","149361.37182","629180.80847","629180.80847"
"20160109","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","45263.02","629180.80847","629180.80847"
"20160110","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","254018.92945","706509.78907","706509.78907"
"20160110","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","235878.4457","706509.78907","706509.78907"
"20160110","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","171349.39392","706509.78907","706509.78907"
"20160110","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","45263.02","706509.78907","706509.78907"
"20160111","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","231849.83445","662601.41282","662601.41282"
"20160111","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","221583.17445","662601.41282","662601.41282"
"20160111","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","169899.60392","662601.41282","662601.41282"
"20160111","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","39268.8","662601.41282","662601.41282"
"20160112","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","254680.3237","665190.10517","665190.10517"
"20160112","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","203206.11905","665190.10517","665190.10517"
"20160112","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","168034.94242","665190.10517","665190.10517"
"20160112","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","39268.72","665190.10517","665190.10517"
"20160113","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","240609.8022","658648.89017","658648.89017"
"20160113","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","199726.20005","658648.89017","658648.89017"
"20160113","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","179044.16792","658648.89017","658648.89017"
"20160113","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","39268.72","658648.89017","658648.89017"
"20160114","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","243661.4892","681859.38667","681859.38667"
"20160114","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","199726.20005","681859.38667","681859.38667"
"20160114","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","199202.97742","681859.38667","681859.38667"
"20160114","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","39268.72","681859.38667","681859.38667"
"20160115","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","267633.4154","704940.97407","704940.97407"
"20160115","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","199726.20005","704940.97407","704940.97407"
"20160115","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","198312.63862","704940.97407","704940.97407"
"20160115","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","39268.72","704940.97407","704940.97407"
"20160116","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","264469.0877","686545.99987","686545.99987"
"20160116","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","199267.60405","686545.99987","686545.99987"
"20160116","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","183540.58812","686545.99987","686545.99987"
"20160116","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","39268.72","686545.99987","686545.99987"
"20160117","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","264469.0877","721921.72187","721921.72187"
"20160117","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","234643.32605","721921.72187","721921.72187"
"20160117","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","183540.58812","721921.72187","721921.72187"
"20160117","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","39268.72","721921.72187","721921.72187"
"20160118","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","260162.6082","712438.41337","712438.41337"
"20160118","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","234636.47605","712438.41337","712438.41337"
"20160118","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","180161.21912","712438.41337","712438.41337"
"20160118","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","37478.11","712438.41337","712438.41337"
"20160119","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","258106.8285","699143.61607","699143.61607"
"20160119","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","234636.47605","699143.61607","699143.61607"
"20160119","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","168922.20152","699143.61607","699143.61607"
"20160119","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","37478.11","699143.61607","699143.61607"
"20160120","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","266058.2522","706399.25977","706399.25977"
"20160120","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","234636.47605","706399.25977","706399.25977"
"20160120","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","168922.20152","706399.25977","706399.25977"
"20160120","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","36782.33","706399.25977","706399.25977"
"20160121","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","317693.80685","752279.77242","752279.77242"
"20160121","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","234443.32805","752279.77242","752279.77242"
"20160121","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","163360.30752","752279.77242","752279.77242"
"20160121","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","36782.33","752279.77242","752279.77242"
"20160122","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","317573.15235","777250.69392","777250.69392"
"20160122","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","233866.54505","777250.69392","777250.69392"
"20160122","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","189028.66652","777250.69392","777250.69392"
"20160122","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","36782.33","777250.69392","777250.69392"
"20160123","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","315171.81395","779523.26397","779523.26397"
"20160123","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","233866.54505","779523.26397","779523.26397"
"20160123","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","193702.57497","779523.26397","779523.26397"
"20160123","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","36782.33","779523.26397","779523.26397"
"20160124","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","315171.81395","779523.26397","779523.26397"
"20160124","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","233866.54505","779523.26397","779523.26397"
"20160124","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","193702.57497","779523.26397","779523.26397"
"20160124","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","36782.33","779523.26397","779523.26397"
"20160125","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","311443.37045","774132.59272","774132.59272"
"20160125","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","233313.69005","774132.59272","774132.59272"
"20160125","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","193338.04222","774132.59272","774132.59272"
"20160125","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","36037.49","774132.59272","774132.59272"
"20160126","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","311340.11545","774029.33772","774029.33772"
"20160126","Region Name: Gujarat","02","Rice-Raw","RAJKOT","WB13","233313.69005","774029.33772","774029.33772"
"20160126","Region Name: Gujarat","02","Rice-Raw","SABARMATI","WB14","193338.04222","774029.33772","774029.33772"
"20160126","Region Name: Gujarat","02","Rice-Raw","PO KANDLA","WB15","36037.49","774029.33772","774029.33772"
"20160127","Region Name: Gujarat","02","Rice-Raw","BARODA","WB12","304345.39995","766160.08452","766160.08452"
