"transe_date","code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"20160101","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1091369.89162","3974255.74729","3974255.74729"
"20160101","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1140890.33695","3974255.74729","3974255.74729"
"20160101","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1167917.15872","3974255.74729","3974255.74729"
"20160101","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","574078.36","3974255.74729","3974255.74729"
"20160102","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1135243.35167","4061490.58109","4061490.58109"
"20160102","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1171702.39855","4061490.58109","4061490.58109"
"20160102","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1184480.23087","4061490.58109","4061490.58109"
"20160102","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","570064.6","4061490.58109","4061490.58109"
"20160103","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1136548.51782","4065775.46224","4065775.46224"
"20160103","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1171702.39855","4065775.46224","4065775.46224"
"20160103","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1187459.94587","4065775.46224","4065775.46224"
"20160103","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","570064.6","4065775.46224","4065775.46224"
"20160104","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1124209.16848","4029742.68655","4029742.68655"
"20160104","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1168009.39155","4029742.68655","4029742.68655"
"20160104","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1171146.65652","4029742.68655","4029742.68655"
"20160104","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","566377.47","4029742.68655","4029742.68655"
"20160105","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1180458.44738","4081826.63642","4081826.63642"
"20160105","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1176859.18645","4081826.63642","4081826.63642"
"20160105","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1160959.53259","4081826.63642","4081826.63642"
"20160105","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","563549.47","4081826.63642","4081826.63642"
"20160106","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1153471.43043","4099892.79062","4099892.79062"
"20160106","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1192065.7801","4099892.79062","4099892.79062"
"20160106","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1192290.80009","4099892.79062","4099892.79062"
"20160106","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","562064.78","4099892.79062","4099892.79062"
"20160107","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1154901.19798","4155030.95997","4155030.95997"
"20160107","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1231183.87295","4155030.95997","4155030.95997"
"20160107","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1208746.94904","4155030.95997","4155030.95997"
"20160107","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","560198.94","4155030.95997","4155030.95997"
"20160108","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1131790.44338","4118131.06732","4118131.06732"
"20160108","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1223798.0215","4118131.06732","4118131.06732"
"20160108","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1202685.05244","4118131.06732","4118131.06732"
"20160108","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","559857.55","4118131.06732","4118131.06732"
"20160109","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1186502.22148","4157765.19242","4157765.19242"
"20160109","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1223798.0215","4157765.19242","4157765.19242"
"20160109","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1187607.39944","4157765.19242","4157765.19242"
"20160109","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","559857.55","4157765.19242","4157765.19242"
"20160110","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1191789.31818","4173385.88012","4173385.88012"
"20160110","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1223798.0215","4173385.88012","4173385.88012"
"20160110","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1203970.06044","4173385.88012","4173385.88012"
"20160110","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","553828.48","4173385.88012","4173385.88012"
"20160111","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1226620.25648","4231645.09962","4231645.09962"
"20160111","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1239816.2922","4231645.09962","4231645.09962"
"20160111","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1211380.07094","4231645.09962","4231645.09962"
"20160111","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","553828.48","4231645.09962","4231645.09962"
"20160112","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1249929.56998","4216073.07949","4216073.07949"
"20160112","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1247817.24885","4216073.07949","4216073.07949"
"20160112","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1169173.91066","4216073.07949","4216073.07949"
"20160112","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","549152.35","4216073.07949","4216073.07949"
"20160113","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1270208.27163","4263873.24929","4263873.24929"
"20160113","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1269725.64755","4263873.24929","4263873.24929"
"20160113","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1179888.00011","4263873.24929","4263873.24929"
"20160113","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","544051.33","4263873.24929","4263873.24929"
"20160114","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1291679.65098","4313803.27964","4313803.27964"
"20160114","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1269725.64755","4313803.27964","4313803.27964"
"20160114","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1208346.65111","4313803.27964","4313803.27964"
"20160114","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","544051.33","4313803.27964","4313803.27964"
"20160115","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1292439.07933","4311842.60584","4311842.60584"
"20160115","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1259334.82015","4311842.60584","4311842.60584"
"20160115","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1216017.37636","4311842.60584","4311842.60584"
"20160115","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","544051.33","4311842.60584","4311842.60584"
"20160116","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1259027.14443","4257375.02636","4257375.02636"
"20160116","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1240404.93275","4257375.02636","4257375.02636"
"20160116","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1213891.61918","4257375.02636","4257375.02636"
"20160116","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","544051.33","4257375.02636","4257375.02636"
"20160117","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1259027.14443","4289930.34001","4289930.34001"
"20160117","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1271372.9484","4289930.34001","4289930.34001"
"20160117","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1219571.43718","4289930.34001","4289930.34001"
"20160117","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","539958.81","4289930.34001","4289930.34001"
"20160118","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1258875.25228","4269471.38486","4269471.38486"
"20160118","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1238396.4184","4269471.38486","4269471.38486"
"20160118","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1222414.33418","4269471.38486","4269471.38486"
"20160118","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","549785.38","4269471.38486","4269471.38486"
"20160119","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1256041.65313","4228652.38786","4228652.38786"
"20160119","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1203608.76125","4228652.38786","4228652.38786"
"20160119","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1224515.82348","4228652.38786","4228652.38786"
"20160119","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","544486.15","4228652.38786","4228652.38786"
"20160120","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1226926.65508","4158272.39771","4158272.39771"
"20160120","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1172404.5469","4158272.39771","4158272.39771"
"20160120","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1216350.81573","4158272.39771","4158272.39771"
"20160120","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","542590.38","4158272.39771","4158272.39771"
"20160121","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1230865.20473","4142140.49386","4142140.49386"
"20160121","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1182104.0321","4142140.49386","4142140.49386"
"20160121","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1189591.87703","4142140.49386","4142140.49386"
"20160121","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","539579.38","4142140.49386","4142140.49386"
"20160122","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1191546.87983","4110436.26256","4110436.26256"
"20160122","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1157612.16825","4110436.26256","4110436.26256"
"20160122","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1223956.35448","4110436.26256","4110436.26256"
"20160122","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","537320.86","4110436.26256","4110436.26256"
"20160123","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1155729.25618","4015073.75626","4015073.75626"
"20160123","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1129344.15125","4015073.75626","4015073.75626"
"20160123","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1196080.35883","4015073.75626","4015073.75626"
"20160123","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","533919.99","4015073.75626","4015073.75626"
"20160124","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1159313.30818","4030060.32476","4030060.32476"
"20160124","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1151742.19875","4030060.32476","4030060.32476"
"20160124","Region Name: Gujarat","01","Wheat(Including URS)","SABARMATI","WB14","1189258.47783","4030060.32476","4030060.32476"
"20160124","Region Name: Gujarat","01","Wheat(Including URS)","PO KANDLA","WB15","529746.34","4030060.32476","4030060.32476"
"20160125","Region Name: Gujarat","01","Wheat(Including URS)","BARODA","WB12","1157077.34468","3976170.31786","3976170.31786"
"20160125","Region Name: Gujarat","01","Wheat(Including URS)","RAJKOT","WB13","1121972.0984","3976170.31786","3976170.31786"
