"transe_date","code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"20160101","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","272213.95","1260486.16239","1260486.16239"
"20160101","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","988272.21239","1260486.16239","1260486.16239"
"20160102","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","272213.95","1263201.86239","1263201.86239"
"20160102","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","990987.91239","1263201.86239","1263201.86239"
"20160103","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","272213.95","1263381.02239","1263381.02239"
"20160103","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","991167.07239","1263381.02239","1263381.02239"
"20160104","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","272213.95","1263526.52239","1263526.52239"
"20160104","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","991312.57239","1263526.52239","1263526.52239"
"20160105","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","273461.34","1260656.68239","1260656.68239"
"20160105","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","987195.34239","1260656.68239","1260656.68239"
"20160106","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","274213.01","1259436.81239","1259436.81239"
"20160106","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","985223.80239","1259436.81239","1259436.81239"
"20160107","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","302862.46","1290365.04239","1290365.04239"
"20160107","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","987502.58239","1290365.04239","1290365.04239"
"20160108","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","298633.78","1280235.89239","1280235.89239"
"20160108","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","981602.11239","1280235.89239","1280235.89239"
"20160109","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","298633.78","1271916.20239","1271916.20239"
"20160109","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","973282.42239","1271916.20239","1271916.20239"
"20160110","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","298633.78","1269287.26239","1269287.26239"
"20160110","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","970653.48239","1269287.26239","1269287.26239"
"20160111","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","307349.85","1272182.09239","1272182.09239"
"20160111","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","964832.24239","1272182.09239","1272182.09239"
"20160112","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","307349.85","1262141.43239","1262141.43239"
"20160112","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","954791.58239","1262141.43239","1262141.43239"
"20160113","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","307349.85","1255281.74239","1255281.74239"
"20160113","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","947931.89239","1255281.74239","1255281.74239"
"20160114","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","385805.25","1328833.31239","1328833.31239"
"20160114","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","943028.06239","1328833.31239","1328833.31239"
"20160115","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","385805.25","1322171.07239","1322171.07239"
"20160115","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","936365.82239","1322171.07239","1322171.07239"
"20160116","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","385805.25","1324375.87239","1324375.87239"
"20160116","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","938570.62239","1324375.87239","1324375.87239"
"20160117","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","385805.25","1324375.87239","1324375.87239"
"20160117","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","938570.62239","1324375.87239","1324375.87239"
"20160118","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","385805.25","1330904.47239","1330904.47239"
"20160118","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","945099.22239","1330904.47239","1330904.47239"
"20160119","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","385805.25","1337268.07239","1337268.07239"
"20160119","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","951462.82239","1337268.07239","1337268.07239"
"20160120","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","385805.25","1342128.20239","1342128.20239"
"20160120","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","956322.95239","1342128.20239","1342128.20239"
"20160121","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","371853.03","1332529.42239","1332529.42239"
"20160121","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","960676.39239","1332529.42239","1332529.42239"
"20160122","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","371853.03","1331908.81239","1331908.81239"
"20160122","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","960055.78239","1331908.81239","1331908.81239"
"20160123","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","371853.03","1331896.47239","1331896.47239"
"20160123","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","960043.44239","1331896.47239","1331896.47239"
"20160124","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","371853.03","1331457.46239","1331457.46239"
"20160124","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","959604.43239","1331457.46239","1331457.46239"
"20160125","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","371853.03","1337317.49239","1337317.49239"
"20160125","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","965464.46239","1337317.49239","1337317.49239"
"20160126","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","371853.03","1337317.49239","1337317.49239"
"20160126","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","965464.46239","1337317.49239","1337317.49239"
"20160127","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","378018.81","1339965.30239","1339965.30239"
"20160127","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","961946.49239","1339965.30239","1339965.30239"
"20160128","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","372289.35","1333354.03239","1333354.03239"
"20160128","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","961064.68239","1333354.03239","1333354.03239"
"20160129","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","372793.27","1335249.57239","1335249.57239"
"20160129","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","962456.30239","1335249.57239","1335249.57239"
"20160130","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","379805.59","1344883.05239","1344883.05239"
"20160130","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","965077.46239","1344883.05239","1344883.05239"
"20160131","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","379805.59","1344883.05239","1344883.05239"
"20160131","Region Name: J & K","02","Rice-Raw","SRINAGAR","NE13","965077.46239","1344883.05239","1344883.05239"
"20160101","Region Name: J & K","02","Rice-Raw","JAMMU","NE12","272213.95","1260486.16239","1260486.16239"
