"transe_date","code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"20160101","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","483839.76","668171.29000","668171.29"
"20160101","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","184331.53","668171.29000","668171.29"
"20160102","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","483839.76","670609.02000","670609.02"
"20160102","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","186769.26","670609.02000","670609.02"
"20160103","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","483839.76","670609.02000","670609.02"
"20160103","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","186769.26","670609.02000","670609.02"
"20160104","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","483839.76","669042.20000","669042.2"
"20160104","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","185202.44","669042.20000","669042.2"
"20160105","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","485609.88","669264.02000","669264.02"
"20160105","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","183654.14","669264.02000","669264.02"
"20160106","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","485066.49","668474.42000","668474.42"
"20160106","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","183407.93","668474.42000","668474.42"
"20160107","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","471319.92","653816.90000","653816.9"
"20160107","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","182496.98","653816.90000","653816.9"
"20160108","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","477011.18","660664.73000","660664.73"
"20160108","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","183653.55","660664.73000","660664.73"
"20160109","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","477011.18","661832.54000","661832.54"
"20160109","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","184821.36","661832.54000","661832.54"
"20160110","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","477011.18","661832.54000","661832.54"
"20160110","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","184821.36","661832.54000","661832.54"
"20160111","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","478126.04","664064.09000","664064.09"
"20160111","Region Name: J & K","01","Wheat(Including URS)","SRINAGAR","NE13","185938.05","664064.09000","664064.09"
"20160112","Region Name: J & K","01","Wheat(Including URS)","JAMMU","NE12","478126.04","664658.67000","664658.67"
