"transe_date","code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"20160101","Region Name: Karnataka","02","Rice-Raw","BENGALURU","SD12","1356583.44428","5487778.85280","5487778.8528"
"20160101","Region Name: Karnataka","02","Rice-Raw","HUBBALLI","SD13","909896.80067","5487778.85280","5487778.8528"
"20160101","Region Name: Karnataka","02","Rice-Raw","MYSURU","SD15","927278.12595","5487778.85280","5487778.8528"
"20160101","Region Name: Karnataka","02","Rice-Raw","RAICHUR","SD16","1164210","5487778.85280","5487778.8528"
"20160101","Region Name: Karnataka","02","Rice-Raw","SHIVAMOGGA","SD17","1129810.4819","5487778.85280","5487778.8528"
"20160102","Region Name: Karnataka","02","Rice-Raw","BENGALURU","SD12","1354985.04078","5511516.27930","5511516.2793"
"20160102","Region Name: Karnataka","02","Rice-Raw","HUBBALLI","SD13","935232.63067","5511516.27930","5511516.2793"
"20160102","Region Name: Karnataka","02","Rice-Raw","MYSURU","SD15","927278.12595","5511516.27930","5511516.2793"
"20160102","Region Name: Karnataka","02","Rice-Raw","RAICHUR","SD16","1164210","5511516.27930","5511516.2793"
"20160102","Region Name: Karnataka","02","Rice-Raw","SHIVAMOGGA","SD17","1129810.4819","5511516.27930","5511516.2793"
"20160103","Region Name: Karnataka","02","Rice-Raw","BENGALURU","SD12","1354985.04078","5531516.32930","5531516.3293"
"20160103","Region Name: Karnataka","02","Rice-Raw","HUBBALLI","SD13","960462.68067","5531516.32930","5531516.3293"
"20160103","Region Name: Karnataka","02","Rice-Raw","MYSURU","SD15","927278.12595","5531516.32930","5531516.3293"
"20160103","Region Name: Karnataka","02","Rice-Raw","RAICHUR","SD16","1158980","5531516.32930","5531516.3293"
"20160103","Region Name: Karnataka","02","Rice-Raw","SHIVAMOGGA","SD17","1129810.4819","5531516.32930","5531516.3293"
"20160104","Region Name: Karnataka","02","Rice-Raw","BENGALURU","SD12","1343925.75828","5495182.56200","5495182.562"
"20160104","Region Name: Karnataka","02","Rice-Raw","HUBBALLI","SD13","955769.39297","5495182.56200","5495182.562"
"20160104","Region Name: Karnataka","02","Rice-Raw","MYSURU","SD15","927278.12595","5495182.56200","5495182.562"
"20160104","Region Name: Karnataka","02","Rice-Raw","RAICHUR","SD16","1148190","5495182.56200","5495182.562"
"20160104","Region Name: Karnataka","02","Rice-Raw","SHIVAMOGGA","SD17","1120019.2848","5495182.56200","5495182.562"
