"transe_date","code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"20160101","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160102","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160103","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160104","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160105","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160106","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160107","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160108","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","200","200.00000","200"
"20160109","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","200","200.00000","200"
"20160110","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","200","200.00000","200"
"20160111","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","320","320.00000","320"
"20160112","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","320","320.00000","320"
"20160113","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","320","320.00000","320"
"20160114","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","490","490.00000","490"
"20160115","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","660","660.00000","660"
"20160116","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","660","660.00000","660"
"20160117","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","660","660.00000","660"
"20160118","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","660","660.00000","660"
"20160119","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1260","1260.00000","1260"
"20160120","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1260","1260.00000","1260"
"20160121","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1260","1260.00000","1260"
"20160122","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1435","1435.00000","1435"
"20160123","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1710","1710.00000","1710"
"20160124","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1710","1710.00000","1710"
"20160125","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1710","1710.00000","1710"
"20160126","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1710","1710.00000","1710"
"20160127","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1710","1710.00000","1710"
"20160128","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1860","1860.00000","1860"
"20160129","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1860","1860.00000","1860"
"20160130","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1860","1860.00000","1860"
"20160131","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","3880","3880.00000","3880"
"20160101","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160102","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160103","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160104","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160105","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160106","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160107","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","20","20.00000","20"
"20160108","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","200","200.00000","200"
"20160109","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","200","200.00000","200"
"20160110","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","200","200.00000","200"
"20160111","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","320","320.00000","320"
"20160112","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","320","320.00000","320"
"20160113","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","320","320.00000","320"
"20160114","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","490","490.00000","490"
"20160115","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","660","660.00000","660"
"20160116","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","660","660.00000","660"
"20160117","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","660","660.00000","660"
"20160118","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","660","660.00000","660"
"20160119","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1260","1260.00000","1260"
"20160120","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1260","1260.00000","1260"
"20160121","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1260","1260.00000","1260"
"20160122","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1435","1435.00000","1435"
"20160123","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1710","1710.00000","1710"
"20160124","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1710","1710.00000","1710"
"20160125","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1710","1710.00000","1710"
"20160126","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1710","1710.00000","1710"
"20160127","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1710","1710.00000","1710"
"20160128","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1860","1860.00000","1860"
"20160129","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1860","1860.00000","1860"
"20160130","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","1860","1860.00000","1860"
"20160131","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","3880","3880.00000","3880"
"20160201","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","3880","3880.00000","3880"
"20160202","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4510","4510.00000","4510"
"20160203","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4720","4720.00000","4720"
"20160204","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4720","4720.00000","4720"
"20160205","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4820","4820.00000","4820"
"20160206","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4940","4940.00000","4940"
"20160207","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4940","4940.00000","4940"
"20160208","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4940","4940.00000","4940"
"20160209","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4940","4940.00000","4940"
"20160210","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4940","4940.00000","4940"
"20160211","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4940","4940.00000","4940"
"20160212","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","4940","4940.00000","4940"
"20160213","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5070","5070.00000","5070"
"20160214","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5070","5070.00000","5070"
"20160215","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5070","5070.00000","5070"
"20160216","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5155.5","5155.50000","5155.5"
"20160217","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5155.5","5155.50000","5155.5"
"20160218","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5155.5","5155.50000","5155.5"
"20160219","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5156.5","5156.50000","5156.5"
"20160220","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5156.5","5156.50000","5156.5"
"20160221","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5156.5","5156.50000","5156.5"
"20160222","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5156.5","5156.50000","5156.5"
"20160223","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5156.5","5156.50000","5156.5"
"20160224","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5355.5","5355.50000","5355.5"
"20160225","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5355.5","5355.50000","5355.5"
"20160226","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5355.5","5355.50000","5355.5"
"20160227","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5355.5","5355.50000","5355.5"
"20160228","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","5355.5","5355.50000","5355.5"
"20160229","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160301","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160302","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160303","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160304","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160305","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160306","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160307","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160308","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160309","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160310","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160311","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160312","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160313","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160314","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6315.5","6315.50000","6315.5"
"20160315","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160316","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160317","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160318","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160319","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160320","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160321","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160322","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160323","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160324","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160325","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160326","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160327","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160328","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160329","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160330","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160331","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160401","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160402","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160403","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160404","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160405","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160406","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160407","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160408","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160409","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160410","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160411","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160412","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160413","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160414","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160415","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160416","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160417","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160418","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160419","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160420","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160421","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160422","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160423","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160424","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160425","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160426","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160427","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160428","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160429","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160430","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160501","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160502","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160503","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
"20160504","Region Name: Karnataka","12","Tur(Arhar)","RAICHUR","SD16","6325.5","6325.50000","6325.5"
